iso3,country_name,basel_score,corruption_control,rule_of_law,govt_effectiveness,regulatory_quality,cpi_score,bank_branches_per100k,financial_account_pct,gdp_per_capita,gdp_log
LCA,SAINT LUCIA,5.25,8.10770517587662,9.26648753881455,-1.36092134565115,6.14896792173386,55.0,15.6024231241478,69.1155037619615,13103.8243147472,9.480659399008715
SYC,SEYCHELLES,5.23,23.7766147851944,6.45357915759087,9.2682883143425,4.58615970611572,71.0,38.9899016154816,69.1155037619615,16836.6721895387,9.731314654820387
DOM,DOMINICAN REPUBLIC,5.21,-6.15591087937355,-1.29870066046715,-0.953358873724937,0.973669022321701,35.0,10.8370437277769,51.2980112720468,10104.2449349081,9.220710905116963
MYS,MALAYSIA,5.21,3.48687261343002,7.86322069168091,13.9015673398972,9.01609253883362,50.0,8.20776044130773,88.3748841160555,11754.5678336248,9.371997195825758
MEX,MEXICO,5.21,-14.167665719986,-12.1524731516838,-3.93835741281509,-2.07633298635483,31.0,12.3565593986272,48.9714753743921,11405.7940473759,9.341876755037235
QAT,QATAR,5.19,11.254299223423,12.8551920056343,15.9141217470169,12.18723487854,58.0,9.36260117792122,69.1155037619615,88701.4689763536,11.393031729337014
BGR,BULGARIA,5.16,-2.21272201836109,-1.50593999773264,-3.7942296564579,4.4896166920662,45.0,79.0432369203676,83.9665205056197,13999.1949530956,9.5467551035937
UZB,UZBEKISTAN,5.12,-10.6077557206154,-11.9449012279511,-4.61617249250412,-7.70441615581512,33.0,52.0091137942849,44.1347902834696,2578.66689394219,7.855027836601853
NAM,NAMIBIA,5.09,3.0132105499506,5.73626008629799,0.761479377746582,-0.210019422695041,49.0,9.3480327584395,71.3463883283129,4349.79908493314,8.377884935644369
UKR,UKRAINE,5.08,-8.87299472093582,-12.8570970892906,-6.95389413833618,-4.64236259460449,36.0,0.392057634214708,83.5648133398349,4199.6708984375,8.342761443686468
PRY,PARAGUAY,5.07,-15.2656214237213,-8.27432864904404,-8.5913160443306,-2.37862336635589,28.0,9.86864747283841,54.419977087987,6205.62595379319,8.733211571486015
ECU,ECUADOR,5.06,-8.82135343551636,-8.68703460693359,-4.32477208971978,-6.43610149621964,34.0,8.92644541691696,64.1767160592829,6515.58528418336,8.781952321929632
EGY,EGYPT,5.06,-9.50440853834152,-3.70564034581185,-6.27044683694839,-9.99489164352417,35.0,6.26294121998176,27.4440057212001,4233.30783744856,8.35073896111049
